Damage level s [%];Damage depth d [mm];Distance D [mm];Freq 1    f1 [Hz];Freq 2    f2 [Hz];Freq 3    f3 [Hz];Freq 4    f4 [Hz];Freq 5    f5 [Hz];Freq 6    f6 [Hz];Freq 7    f7 [Hz];Freq 8    f8 [Hz];Freq 9    f9 [Hz];Freq 10    f10 [Hz]
25;1,25;382;4,08033496;25,56039743;71,5719045;140,5827345;231,4841634;347,1271627;484,5146592;644,0535886;830,7876284;1034,20268
25;1,25;389;4,08070656;25,55598394;71,58726574;140,5541487;231,4737618;347,2661132;484,2054736;644,4142366;830,6891024;1033,698309
25;1,25;395;4,0810198;25,55236989;71,60081631;140,5249924;231,4810977;347,3585128;483,9516783;644,7812485;830,4153408;1033,559406
25;1,25;400;4,08127424;25,54943969;71,61215018;140,4974715;231,4990232;347,4142627;483,7600358;645,1121446;830,071101;1033,666075
25;1,25;405;4,08152565;25,54645987;71,62366348;140,4683682;231,5259233;347,4488484;483,592859;645,4447296;829,6425504;1033,960046
25;1,25;409;4,08172446;25,54421121;71,63266742;140,443416;231,5540061;347,4591404;483,4820462;645,7011756;829,2634285;1034,309866
25;1,25;413;4,08192023;25,54195171;71,64177547;140,4178018;231,586847;347,4548063;483,3991321;645,9375795;828,8700967;1034,746264
25;1,25;420;4,08225391;25,5382573;71,65771376;140,3705251;231,6583067;347,4094207;483,31707;646,2785584;828,2104145;1035,648132
25;1,25;423;4,08240017;25,5365362;71,66425402;140,3504854;231,6923195;347,3780136;483,30863;646,3899868;827,9525836;1036,053708
25;1,25;431;4,08277187;25,53257444;71,68108326;140,2942349;231,7955384;347,2555656;483,3605408;646,560551;827,4116693;1037,068388
25;1,25;435;4,08295588;25,5305245;71,68933038;140,2665878;231,8516283;347,1786214;483,4222226;646,5715449;827,245343;1037,490375
25;1,25;441;4,08322708;25,52762365;71,70093244;140,2257971;231,938596;347,0447355;483,5683922;646,4934613;827,1378189;1037,936753
25;1,25;447;4,08349295;25,52492063;71,71166929;140,1864056;232,0276397;346,8949086;483,7628219;646,3064162;827,2157754;1038,119563
25;1,25;452;4,08370823;25,5228711;71,71975177;140,15575;232,1013546;346,7634946;483,9524247;646,0779001;827,4127053;1038,043213
25;1,25;456;4,08387859;25,52126618;71,72591034;140,1317245;232,1585556;346,6564525;484,1195316;645,858508;827,6560669;1037,843639
25;1,25;463;4,08417421;25,51844463;71,73554474;140,0938804;232,2538645;346,4700909;484,4254038;645,4184314;828,208103;1037,229523
25;1,25;471;4,08450134;25,51573316;71,74409463;140,0571886;232,3501143;346,2738925;484,7683004;644,8788397;828,9609497;1036,241047
25;1,25;478;4,08477874;25,51345798;71,75023737;140,0309296;232,420498;346,1283543;485,0371706;644,438813;829,6288238;1035,296823
25;1,25;485;4,08505279;25,51141835;71,75448327;140,0122804;232,4741478;346,0136635;485,2534628;644,0745933;830,2041438;1034,449394
25;1,25;491;4,08528047;25,50996075;71,75627766;140,0017611;232,5049709;345,9458658;485,3811053;643,851351;830,5636214;1033,901911
25;1,25;496;4,08546578;25,50894921;71,75672777;139,9964095;232,5201133;345,9137796;485,4420761;643,7470165;830,7409128;1033,637072
25;1,25;500;4,0856134;25,50805775;71,75662488;139,9961042;232,5248634;345,9044598;485,4608399;643,7154427;830,7939307;1033,564222
